,Names,Total_shipped,Total_sales
45,MySims Agents Read the review,,1.05m
46,Disney Universe,,1.05m
47,Dance on Broadway,,1.04m
48,FIFA Soccer 08,,1.03m
49,Guinness World Records: The Videogame,,1.03m
0,Active Life: Outdoor Challenge,1.03m,
1,Dragon Ball Z: Budokai Tenkaichi 3,,1.03m
2,Tiger Woods PGA Tour 08,,1.02m
3,We Ski,1.02m,
4,Wall-E,,1.02m
5,Rock Band 2 Read the review,,1.02m
6,Naruto: Clash of Ninja Revolution,,1.02m
7,The Simpsons Game,,1.01m
8,NERF N-Strike Elite Read the review,,1.00m
9,Just Dance 2017,,1.00m
10,Cars: Race-O-Rama,,0.99m
11,FIFA Soccer 10,,0.98m
12,Disney Epic Mickey 2: The Power of Two,,0.98m
13,WWE SmackDown vs Raw 2008,,0.98m
14,Wheel of Fortune,,0.98m
15,Band Hero,,0.97m
16,Guitar Hero: Warriors of Rock,,0.96m
17,Club Penguin: Game Day!,,0.96m
18,Scooby-Doo! First Frights,,0.96m
19,Skylanders: Trap Team,,0.95m
20,Red Steel,0.95m,
21,Tony Hawk: RIDE,,0.94m
22,Guitar Hero: Metallica,,0.93m
23,LEGO The Lord of the Rings,,0.93m
24,Cars,,0.92m
25,Nickelodeon Fit,,0.92m
26,Xenoblade Chronicles Read the review,,0.92m
27,Kung Fu Panda,,0.92m
28,EA Sports Grand Slam Tennis,,0.92m
29,Sonic Riders: Zero Gravity,,0.91m
30,AMF Bowling Pinbusters!,,0.91m
31,Cars 2,,0.90m
32,Rhythm Heaven Fever,,0.89m
33,CSI: Hard Evidence,,0.89m
34,FIFA Soccer 09 All-Play,,0.89m
35,Samba De Amigo,,0.89m
36,Monster 4x4: World Circuit,,0.88m
37,F1 2009,,0.88m
38,Madden NFL 08,,0.88m
39,Cooking Mama: World Kitchen,,0.87m
40,Ghostbusters: The Video Game Read the review,,0.87m
41,Endless Ocean: Blue World,,0.87m
42,Gold's Gym: Dance Workout,,0.86m
43,Pictionary,,0.86m
44,Tomb Raider: Anniversary,,0.85m
45,The House of the Dead: Overkill Read the review,,0.85m
46,Madden NFL 09 All-Play,,0.84m
47,Blazing Angels: Squadrons of WWII,,0.84m
48,Call of Duty: Modern Warfare 3 Read the review,,0.83m
49,Need for Speed: Nitro Read the review,,0.83m
0,WWE SmackDown vs. Raw 2009 Read the review,,0.83m
1,Rayman Origins,0.83m,
2,Harvest Moon: Tree of Tranquility,,0.82m
3,Karaoke Revolution Glee,,0.82m
4,The Price is Right,,0.82m
5,EA Sports Active NFL Training Camp,,0.82m
6,Ben 10: Alien Force,,0.80m
7,Deca Sports 2,,0.80m
8,Star Wars The Clone Wars: Republic Heroes,,0.80m
9,Zumba Fitness,0.80m,
10,Hasbro Family Game Night 3,,0.80m
11,All Star Cheer Squad,,0.79m
12,MadWorld Read the review,,0.78m
13,Star Wars: The Force Unleashed II Read the review,,0.78m
14,DJ Hero Read the review,,0.78m
15,ABBA: You Can Dance,,0.77m
16,Ghost Squad,,0.77m
17,FIFA Soccer 12,,0.76m
18,PokéPark 2: Wonders Beyond Read the review,,0.76m
19,Harry Potter and the Half-Blood Prince,,0.76m
20,Drawn to Life: The Next Chapter,,0.75m
21,We Sing,,0.75m
22,Deer Drive,,0.75m
23,Raving Rabbids: Travel in Time,,0.75m
24,Namco Museum Remix,,0.74m
25,Harvest Moon: Animal Parade,,0.74m
26,WWE SmackDown vs. Raw 2010,,0.73m
27,Madden NFL 11,,0.73m
28,Monopoly Streets,,0.73m
29,Indiana Jones and the Staff of Kings Read the review,,0.72m
30,Madden NFL 10,,0.72m
31,James Cameron's Avatar: The Game,,0.72m
32,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,0.71m,
33,de Blob,0.70m,
34,Dragon Quest X,0.70m,
35,LEGO Rock Band Read the review,,0.70m
36,FIFA 13,,0.69m
37,Kirby's Dream Collection: Special Edition Read the review,,0.69m
38,The Last Story Read the review,,0.68m
39,Disney Tangled,,0.68m
40,Country Dance,,0.67m
41,Summer Sports: Paradise Island (Others sales),,0.67m
42,Bakugan: Battle Brawlers,,0.67m
43,Taiko no Tatsujin Wii: Super Deluxe Edition,,0.66m
44,TV Show King Party,,0.66m
45,The Biggest Loser: Challenge,,0.65m
46,007: Quantum of Solace Read the review,,0.65m
47,Need for Speed: Undercover,,0.65m
48,New Play Control! Pikmin,,0.64m
49,Real Heroes: Firefighter Read the review,,0.64m
0,Rock Band 3,,0.64m
1,Disney Sing It: Party Hits,,0.63m
2,Cabela's Big Game Hunter (2008),,0.63m
3,Family Feud: 2010 Edition Read the review,,0.62m
4,Donkey Kong Barrel Blast,,0.62m
5,DJ Hero 2,,0.62m
6,The Black Eyed Peas Experience,,0.62m
7,Pac-Man Party,,0.62m
8,SpongeBob's Atlantis SquarePantis,,0.62m
9,Metroid Prime: Trilogy Read the review,,0.61m
10,Cabela's Monster Buck Hunter,,0.61m
11,New Play Control! Pikmin 2,,0.61m
12,World of Zoo,,0.61m
13,New Carnival Games,,0.61m
14,The Golden Compass,,0.60m
15,Active Life: Extreme Challenge,0.60m,
16,Just Dance Wii,0.60m,
17,Disney TH!NK Fast: The Ultimate Trivia Showdown,,0.60m
18,New Play Control! Donkey Kong Jungle Beat,,0.60m
19,Disney Sing It! High School Musical 3: Senior Year,,0.59m
20,Disney Sing It: Family Hits,,0.59m
21,Jeopardy!,,0.59m
22,Iron Man,,0.59m
23,Top Spin 3,,0.58m
24,Phineas and Ferb: Across the 2nd Dimension,,0.58m
25,Cabela's Dangerous Hunts 2011,,0.58m
26,Guitar Hero: Smash Hits Read the review,,0.58m
27,Go Diego Go! Great Dinosaur Rescue,,0.58m
28,Skate it Read the review,,0.58m
29,Transformers: The Game,,0.58m
30,Rapala: We Fish,,0.57m
31,Petz Dogz 2,,0.57m
32,Taiko no Tatsujin Wii,0.57m,
33,Trivial Pursuit Read the review,,0.57m
34,Up,,0.57m
35,Tony Hawk: Shred,,0.57m
36,FIFA 15,,0.57m
37,The Legend of Spyro: Dawn of the Dragon,,0.57m
38,Jillian Michaels Fitness Ultimatum 2010,,0.56m
39,Tetris Party Deluxe,,0.56m
40,Bolt,,0.56m
41,Dora The Explorer: Dora Saves the Snow Princess,,0.56m
42,No More Heroes,,0.56m
43,Rapala Tournament Fishing!,,0.55m
44,Madagascar: Escape 2 Africa,,0.55m
45,Grease,,0.55m
46,Monster Jam: Path of Destruction,,0.55m
47,Are You Smarter than a 5th Grader? Make the Grade,,0.54m
48,Tiger Woods PGA Tour 11 Read the review,,0.54m
49,System 3 presents Ferrari Challenge Trofeo Pirelli,,0.54m
0,Monster High: Ghoul Spirit,,0.54m
1,Harry Potter and the Deathly Hallows - Part 1,,0.54m
2,Summer Sports: Paradise Island,,0.54m
3,Tatsunoko vs. Capcom: Ultimate All-Stars,,0.54m
4,Manhunt 2,,0.54m
5,Excite Truck Read the review,,0.53m
6,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,,0.53m
7,GT Pro Series,,0.52m
8,We Cheer,,0.52m
9,Madden NFL 13,,0.52m
10,Go Diego Go! Safari Rescue,,0.52m
11,Alice in Wonderland,,0.51m
12,Naruto Shippuden: Clash of Ninja Revolution III,,0.51m
13,Pro Evolution Soccer 2010,,0.51m
14,My Word Coach,,0.51m
15,Cars Toon: Mater's Tall Tales,,0.51m
16,NBA 2K11,,0.51m
17,Bully: Scholarship Edition,,0.50m
18,Ratatouille,,0.50m
19,Sega Bass Fishing,,0.50m
20,Madden NFL 07,,0.50m
21,SpongeBob SquarePants: Creature from the Krusty Krab,,0.49m
22,Cars Mater-National Championship,,0.49m
23,Boogie,,0.49m
24,Babysitting Mama,,0.49m
25,Fire Emblem: Radiant Dawn,,0.49m
26,Dreamworks Madagascar Kartz,,0.49m
27,Ultimate I Spy,,0.48m
28,Pinball Hall of Fame: The Williams Collection,,0.48m
29,Fortune Street,,0.48m
30,Bass Pro Shops: The Strike,,0.48m
31,Transformers: Revenge of the Fallen,,0.48m
32,Spider-Man 3,,0.47m
33,Ford Racing Off Road,,0.47m
34,The Sims 2: Pets,,0.47m
35,MySims Racing,,0.47m
36,Dead Space Extraction Read the review,,0.47m
37,Silent Hill: Shattered Memories Read the review,,0.47m
38,FlingSmash,,0.47m
39,Emergency Heroes,,0.47m
40,Petz Sports,,0.47m
41,Tiger Woods PGA Tour 07,,0.47m
42,SimCity Creator,,0.46m
43,Harry Potter and the Order of the Phoenix,,0.46m
44,Need for Speed: Hot Pursuit,,0.46m
45,The Princess and the Frog,,0.46m
46,WWE SmackDown vs. Raw 2011,,0.46m
47,Boom Blox Bash Party,,0.46m
48,Country Dance 2,,0.46m
49,Tomb Raider: Underworld,,0.45m
0,We Sing Encore,,0.45m
1,Scooby-Doo! and the Spooky Swamp,,0.45m
2,iCarly,,0.45m
3,Barbie as The Island Princess,,0.45m
4,Karaoke Revolution Presents American Idol Encore,,0.45m
5,Crash of the Titans,,0.45m
6,Boom Blox Read the review,0.45m,
7,PES 2009: Pro Evolution Soccer,,0.45m
8,Pirates of the Caribbean: At World's End,,0.45m
9,Disney Guilty Party Read the review,,0.45m
10,Celebrity Sports Showdown,,0.45m
11,Rock Band Country Track Pack,,0.44m
12,Petz: Catz 2,,0.44m
13,Dance Dance Revolution: Hottest Party 3,,0.44m
14,Family Fest Presents Circus Games,,0.44m
15,G-Force,,0.44m
16,Ben 10 Alien Force: Vilgax Attacks,,0.44m
17,Madden NFL 12,,0.44m
18,Samurai Warriors 3,,0.44m
19,Thrillville: Off the Rails,,0.44m
20,Crash: Mind Over Mutant,,0.44m
21,Food Network: Cook or Be Cooked,,0.44m
22,Walk it Out!,,0.44m
23,Karaoke Revolution,,0.44m
24,Jump Start Pet Rescue,,0.44m
25,Nicktoons: Attack of the Toybots,,0.44m
26,Remington Great American Bird Hunt,,0.44m
27,NBA 2K13,,0.43m
28,Sin and Punishment: Star Successor Read the review,,0.43m
29,2010 FIFA World Cup South Africa,,0.42m
30,Just Dance: Summer Party Read the review,,0.42m
31,NASCAR Kart Racing,,0.42m
32,Petz: Horsez 2,,0.42m
33,How to Train Your Dragon,,0.42m
34,FIFA 14,,0.42m
35,NHL Slapshot Read the review,,0.42m
36,Zack & Wiki: Quest for Barbaros' Treasure,,0.42m
37,JumpStart: Escape from Adventure Island,,0.41m
38,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,,0.41m
39,Medal of Honor Heroes 2,,0.41m
40,NiGHTS: Journey of Dreams,,0.41m
41,SpongeBob SquigglePants,,0.41m
42,Monster Jam: Urban Assault,,0.41m
43,NBA Jam Read the review,,0.41m
44,Six Flags Fun Park,,0.40m
45,Taiko no Tatsujin Wii: Dodon to 2 Yome!,,0.40m
46,Monster Trucks Mayhem,,0.40m
47,Marvel: Ultimate Alliance,,0.40m
48,Spore Hero,,0.40m
49,Winter Sports 2: The Next Challenge,,0.40m
0,WipeOut 3 The Game,,0.40m
1,Speed Racer: The Videogame,,0.40m
2,Littlest Pet Shop,,0.40m
3,No More Heroes 2: Desperate Struggle Read the review,,0.40m
4,Fishing Resort,,0.39m
5,Super Monkey Ball: Step & Roll,,0.39m
6,Just Dance 2018,,0.39m
7,Final Fantasy Crystal Chronicles: The Crystal Bearers Read the review,,0.39m
8,SpongeBob's Truth or Square (US sales),,0.39m
9,Taiko no Tatsujin Wii: Ketteiban,,0.39m
10,Disney Princess: Enchanting Storybooks,,0.39m
11,Hooked! Again: Real Motion Fishing,,0.39m
12,Dance Party: Pop Hits,,0.38m
13,Naruto: Clash of Ninja Revolution 2,,0.38m
14,Brunswick Pro Bowling,,0.38m
15,Sesame Street: Elmo's A-to-Zoo Adventure,,0.38m
16,Ennichi no Tatsujin,0.38m,
17,Cabela's Dangerous Hunts 2009,,0.38m
18,The Dog Island,,0.38m
19,Dancing with the Stars: We Dance!,,0.38m
20,Imagine: Party Babyz,,0.38m
21,Peppa Pig: The Game,,0.38m
22,NBA 2K10 Read the review,,0.37m
23,ZhuZhu Pets: Featuring The Wild Bunch,,0.37m
24,Cabela's Big Game Hunter 2012,,0.37m
25,Rec Room Games,,0.37m
26,DiRT 2,,0.37m
27,Virtua Tennis 2009,,0.37m
28,Overlord: Dark Legend,,0.37m
29,The BIGS,,0.37m
30,Rune Factory: Frontier Read the review,,0.37m
31,Mini Ninjas,,0.37m
32,Fragile Dreams: Farewell Ruins of the Moon Read the review,,0.37m
33,Green Day: Rock Band,,0.37m
34,Build-A-Bear Workshop: A Friend Fur All Seasons,,0.36m
35,Marvel Super Hero Squad,,0.36m
36,The Chronicles of Narnia: Prince Caspian,,0.36m
37,TMNT,,0.36m
38,North American Hunting Extravaganza,,0.36m
39,U-Sing,,0.35m
40,Press Your Luck 2010 Edition,,0.35m
41,AMF Bowling World Lanes,,0.35m
42,NHL 2K10,,0.35m
43,Teenage Mutant Ninja Turtles: Smash-Up Read the review,,0.35m
44,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),,0.35m
45,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,0.35m,
46,Chicken Shoot,,0.35m
47,Tiger Woods PGA Tour 12: The Masters,,0.35m
48,SpongeBob's Boating Bash,,0.35m
49,Hannah Montana: The Movie,,0.35m
0,WWE '12,,0.34m
1,Battalion Wars 2,,0.34m
2,NBA 2K12,,0.34m
3,DanceDanceRevolution,,0.34m
4,Trauma Center: Second Opinion,,0.34m
5,Mystery Case Files: The Malgrave Incident,,0.33m
6,Harry Potter and the Deathly Hallows - Part 2,,0.33m
7,We Sing Deutsche Hits,,0.33m
8,Bee Movie Game,,0.33m
9,Hell's Kitchen: The Game,,0.33m
10,Night at the Museum: Battle of the Smithsonian,,0.33m
11,The X-Factor,,0.33m
12,Def Jam Rapstar,,0.33m
13,The Adventures of Tintin: The Game,,0.33m
14,Chicken Riot,,0.33m
15,SSX Blur,,0.33m
16,MX vs. ATV Untamed,,0.33m
17,Family Party: 90 Great Games Party Pack,,0.33m
18,Iron Man 2,,0.33m
19,Elebits,,0.32m
20,Power Rangers Samurai,,0.32m
21,Marvel: Ultimate Alliance 2,,0.32m
22,Wipeout 2,,0.32m
23,Bleach: Shattered Blade,,0.32m
24,Karaoke Revolution Presents American Idol Encore 2,,0.32m
25,Dragon Quest Monsters: Battle Road Victory,,0.32m
26,Bigfoot: Collision Course,,0.32m
27,Birthday Party Bash,,0.32m
28,Chicken Blaster,,0.32m
29,Monster Lab,,0.31m
30,Fishing Master,,0.31m
31,Pandora's Tower Read the review,,0.31m
32,My Horse & Me,,0.31m
33,Gold's Gym: Cardio Workout (Others sales),,0.31m
34,SimAnimals,,0.31m
35,Shrek's Carnival Craze Party Games,,0.31m
36,The Incredible Hulk,,0.31m
37,Cabela's Outdoor Adventures (2009),,0.31m
38,Calvin Tucker's Redneck Jamboree,,0.31m
39,Resident Evil Archives: Resident Evil,,0.30m
40,The Smurfs: Dance Party,,0.30m
41,Wacky Races: Crash & Dash,,0.30m
42,Rapala Pro Bass Fishing 2010,,0.30m
43,Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,,0.30m
44,Shaun White Snowboarding: World Stage,,0.30m
45,I Spy: Spooky Mansion,,0.30m
46,MySims SkyHeroes,,0.30m
47,WWII Aces,,0.29m
48,ExerBeat,,0.29m
49,Shrek: Forever After,,0.29m
0,Harvest Moon: Magical Melody,,0.29m
1,Karaoke Revolution Glee: Volume 3,,0.29m
2,Just Dance Wii 2,,0.29m
3,Prince of Persia: Rival Swords,,0.29m
4,Sesame Street: Cookie's Counting Carnival,,0.29m
5,Trauma Center: New Blood,,0.29m
6,The BIGS 2 Read the review,,0.29m
7,MLB Power Pros,,0.29m
8,One Piece Unlimited Cruise 2: Awakening of a Hero,,0.29m
9,Sengoku Basara: Samurai Heroes,,0.29m
10,Puzzle Quest: Challenge of the Warlords,,0.29m
11,Dead Rising: Chop Till You Drop Read the review,,0.29m
12,Dragon Ball Z: Budokai Tenkaichi 2,,0.29m
13,Purr Pals,,0.29m
14,Disney Channel: All Star Party Read the review,,0.28m
15,Reel Fishing: Angler's Dream,,0.28m
16,Guitar Hero: Van Halen,,0.28m
17,Shrek the Third,,0.28m
18,Ben 10 Ultimate Alien: Cosmic Destruction,,0.28m
19,Batman: The Brave and the Bold the Videogame Read the review,,0.28m
20,Okami,0.28m,
21,We Ski & Snowboard,0.28m,
22,CSI: Deadly Intent,,0.28m
23,ExciteBots: Trick Racing Read the review,,0.28m
24,Avatar: The Last Airbender,,0.28m
25,Ice Age: Dawn of the Dinosaurs Read the review,,0.28m
26,Need for Speed: The Run,,0.28m
27,Remington Super Slam Hunting: Africa,,0.27m
28,Create,,0.27m
29,Transformers: Cybertron Adventures,,0.27m
30,Angry Birds: Star Wars,,0.27m
31,One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,,0.27m
32,NHL 2K11,,0.27m
33,Red Steel 2 Read the review,0.27m,
34,The Conduit Read the review,0.27m,
35,Despicable Me: The Game,,0.27m
36,Just Dance Kids 2,,0.27m
37,Summer Athletics: The Ultimate Challenge (US sales),,0.27m
38,Marvel Super Hero Squad: The Infinity Gauntlet,,0.27m
39,AC/DC LIVE: Rock Band Track Pack,,0.27m
40,Are You Smarter than a 5th Grader? Game Time,,0.27m
41,Major League Baseball 2K10,,0.26m
42,Bratz: The Movie,,0.26m
43,Scene It? Twilight,,0.26m
44,Dora the Explorer: Dora Saves the Crystal Kingdom,,0.26m
45,Inazuma Eleven Strikers,,0.26m
46,Major League Baseball 2K9,,0.26m
47,Petz: Crazy Monkeyz,,0.26m
48,Summer Sports 2: Island Sports Party,,0.26m
