,Titles,Total sales in million
1485,Animal Genius,0.11
1486,A Witch's Tale,0.11
1487,Retro Game Challenge Read the review,0.11
1488,Mechanic Master,0.11
1489,Heart Catch PreCure! Oshare Collection,0.11
1490,Pac 'n Roll,0.11
1491,Girl Time,0.11
1492,Garfield's Fun Fest,0.11
1493,Just In Time Translations,0.11
1494,de Blob 2,0.11
1495,Dementium II,0.11
1496,Ping Pals,0.11
1497,Mystery P.I. - Portrait of a Thief,0.11
1498,The Hardy Boys: Treasure on the Tracks,0.11
1499,Desktop Tower Defense,0.11
1500,Cory in the House,0.11
1501,My SAT Coach with The Princeton Review,0.11
1502,Fabulous Finds,0.11
1503,Pocket Pets,0.11
1504,GoldenEye: Rogue Agent,0.11
1505,Let's Play Garden,0.11
1506,Kousoku Card Battle: Card Hero,0.11
1507,Tokimeki Memorial: Girl's Side 2nd Season,0.11
1508,Jake Hunter Detective Story: Memories of the Past Read the review,0.11
1509,Puzzler World 2,0.11
1510,Green Lantern: Rise of the Manhunters,0.11
1511,Cake Mania,0.11
1512,Master of the Monster Lair,0.11
1513,The Settlers,0.11
1514,Yard Sale Hidden Treasures: Sunnyville,0.11
1515,Grease,0.11
1516,Guitar Rock Tour,0.11
1517,Paws & Claws Pet Vet: Australian Adventures,0.11
1518,Soma Bringer,0.11
1519,Lost in Blue,0.11
1520,Army Men: Soldiers of Misfortune,0.11
1521,Silly Bandz: Play The Craze,0.11
1522,Dawn of Discovery,0.11
1523,Nicktoons: Unite!,0.11
1524,ATV Quad Kings,0.11
1525,Mushroom Men: Rise of the Fungi,0.11
1526,Touch Detective 2 1/2,0.11
1527,Animal Planet: Vet Life,0.11
1528,ATV: Quad Frenzy,0.11
1529,Irozuki Tingle no Koi no Balloon Trip,0.11
1530,HOP,0.11
1531,Cats & Dogs: The Revenge of Kitty Galore,0.11
1532,The Cheetah Girls: Pop Star Sensations,0.11
1533,Happy Feet Two,0.11
1534,Bust-A-Move DS,0.11
1535,Yamaha Supercross,0.11
1536,My Boyfriend,0.11
1537,Kirarin * Revolution: Kira Kira Idol Audition,0.11
1538,Naruto Shippuden: Naruto vs. Sasuke Read the review,0.11
1539,Mega Man Battle Network 5: Double Team DS (JP sales),0.11
1540,Sudokuro,0.11
1541,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,0.11
1542,Pro Yakyuu Team o Tsukurou! 2,0.11
1543,Petz Fashion: Dogz & Catz,0.11
1544,Viewtiful Joe: Double Trouble!,0.11
1545,Trauma Center: Under the Knife 2,0.11
1546,Gem Quest: 4 Elements,0.11
1547,Big League Sports: Summer,0.11
1548,Hysteria Hospital: Emergency Ward,0.11
1549,Rock Revolution,0.11
1550,Science Papa,0.11
1551,Alvin and the Chipmunks: Chipwrecked,0.11
1552,My First Dollhouse,0.11
1553,X-Men: The Official Game,0.11
1554,Power Rangers: Super Legends,0.1
1555,Power Pocket Koushien,0.1
1556,Dreamer Series: Top Model,0.1
1557,American Girl: Julie Finds a Way,0.1
1558,Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,0.1
1559,The Lord of the Rings: Conquest,0.1
1560,Princess Debut,0.1
1561,Pro Yakyuu Famista DS 2009,0.1
1562,Digimon Story: Lost Evolution,0.1
1563,Imagine: Soccer Captain,0.1
1564,Brain Quest: Grades 5 & 6,0.1
1565,Barbie in The 12 Dancing Princesses,0.1
1566,Exit DS,0.1
1567,Corvette Evolution GT,0.1
1568,WireWay,0.1
1569,Atsumare! Power Pro Kun no DS Koushien,0.1
1570,Atsumare! Power Pro Kun no DS Koushien,0.1
1571,Astro Boy: The Video Game,0.1
1572,Miami Law Read the review,0.1
1573,UNO / Skip-Bo / UNO Freefall,0.1
1574,Culdcept DS,0.1
1575,America's Next Top Model Read the review,0.1
1576,PictoImage,0.1
1577,Kirarin * Revolution: Mezase! Idol Queen,0.1
1578,Agatha Christie: The ABC Murders,0.1
1579,Math Blaster in the Prime Adventure,0.1
1580,SimAnimals Africa,0.1
1581,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,0.1
1582,DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,0.1
1583,Penguin no Mondai: The World,0.1
1584,Flushed Away,0.1
1585,Football Director DS,0.1
1586,Project Hacker: Kakusei,0.1
1587,Deca Sports DS,0.1
1588,KORG DS-10 Synthesizer Plus,0.1
1589,Draglade,0.1
1590,All Kamen Rider: Rider Generation 2,0.1
1591,My Healthy Cooking Coach,0.1
1592,Kabushiki Baibai Trainer: Kabutore!,0.1
1593,Myst,0.1
1594,Sudoku Mania,0.1
1595,USA Today Puzzle Craze,0.1
1596,Dora & Kai-Lan's Pet Shelter,0.1
1597,Spider-Man: Web of Shadows,0.1
1598,Nicktoons MLB,0.1
1599,Harvest Moon DS Cute (jp sales),0.1
1600,Bleach: Dark Souls (JP sales),0.1
1601,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,0.1
1602,Contact,0.1
1603,Nancy Drew: The Model Mysteries,0.1
1604,May's Mystery: Forbidden Memories,0.1
1605,System Flaw,0.1
1606,Rapala Pro Bass Fishing 2010,0.1
1607,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,0.1
1608,Fifi and the Flowertots,0.1
1609,Mystery Stories: Curse of the Ancient Spirits,0.1
1610,Cate West: The Vanishing Files,0.1
1611,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,0.1
1612,Championship Pony,0.1
1613,Petz Hamsterz Superstarz,0.1
1614,Bejeweled Twist,0.1
1615,Harvest Moon: Frantic Farming,0.1
1616,Star Wars: Lethal Alliance,0.1
1617,Blue Dragon: Awakened Shadow Read the review,0.1
1618,Dora's Cooking Club,0.1
1619,Horse Life Adventures,0.1
1620,Luminous Arc 2 (JP sales),0.1
1621,Ford Racing 3,0.1
1622,Pro Yakyuu Famista DS,0.1
1623,Ninja Reflex,0.1
1624,Squinkies 2: Adventure Mall Surprize!,0.1
1625,Touch Detective,0.1
1626,Digimon Story: Super Xros Wars Blue/Red,0.1
1627,Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,0.1
1628,SNK vs. Capcom Card Fighters DS,0.1
1629,Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!,0.1
1630,Imagine: Reporter,0.1
1631,thinkSMART,0.1
1632,Glory Days 2,0.09
1633,Unou no Tatsujin: Soukai! Machigai Museum 2,0.09
1634,Galactic Taz Ball,0.09
1635,Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,0.09
1636,Metal Fight Beyblade,0.09
1637,Populous DS,0.09
1638,The Story of Noah's Ark,0.09
1639,Fresh PreCure! Asobi Collection,0.09
1640,Wordmaster,0.09
1641,Retro Game Challenge (US sales),0.09
1642,SD Gundam G Generation DS,0.09
1643,Learn Chess,0.09
1644,Scooby-Doo! Who's Watching Who?,0.09
1645,Ultimate Mortal Kombat,0.09
1646,Snood 2: On Vacation,0.09
1647,Puyo Pop Fever (JP sales),0.09
1648,Dragon Ball Kai: Ultimate Butouden,0.09
1649,InuYasha: Secret of the Divine Jewel,0.09
1650,I Love Puppies,0.09
1651,Tak: The Great Juju Challenge,0.09
1652,Fighting Fantasy: The Warlock of Firetop Mountain,0.09
1653,Junior Mystery Quest,0.09
1654,Jenga World Tour,0.09
1655,Blood of Bahamut,0.09
1656,Challenge Me: Brain Puzzles 2,0.09
1657,Major League Baseball 2K11,0.09
1658,Tom Clancy's EndWar,0.09
1659,Puchi Puchi Virus Read the review,0.09
1660,Quiz Magic Academy DS: Futatsu no Jikuu Koku,0.09
1661,Wonder World Amusement Park,0.09
1662,Doraemon: Nobita to Midori no Kyojinden DS,0.09
1663,Lock's Quest Read the review,0.09
1664,Spectral Force Genesis Read the review,0.09
1665,Fullmetal Alchemist: Dual Sympathy,0.09
1666,Ochaken no Heya DS 2,0.09
1667,Naruto RPG 3: Rejiuu vs Konoha Shoutai,0.09
1668,Scooby-Doo! Unmasked,0.09
1669,Sega Casino,0.09
1670,"Saiyuuki: Kinkaku, Ginkaku no Inbou",0.09
1671,World Championship Games: A Track & Field Event,0.09
1672,Justice League Heroes,0.09
1673,Dora's Big Birthday Adventure,0.09
1674,FIFA Street 3,0.09
1675,Cake Mania: Main Street,0.09
1676,Pillow Pets,0.09
1677,Pipe Mania,0.09
1678,Red Bull BC One,0.09
1679,Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,0.09
1680,Kurikin: Nano Island Story,0.09
1681,The Mummy: Tomb of the Dragon Emperor,0.09
1682,Game Hits!,0.09
1683,Reading Training,0.09
1684,Roary the Racing Car,0.09
1685,Dreamer Series: Teacher,0.09
1686,El Tigre: The Adventures of Manny Rivera,0.09
1687,The Bachelor: The Videogame,0.09
1688,MLB 2K9 Fantasy All-Stars,0.09
1689,Brain Voyage,0.09
1690,Rock Band 3,0.09
1691,Henry Hatsworth in the Puzzling Adventure,0.09
1692,My Stop Smoking Coach: Allen Carr's EasyWay,0.09
1693,Sloane to MacHale no Nazo no Monogatari 2,0.09
1694,Tabi no Yubisashi Kaiwachou DS: DS Series 4 America,0.09
1695,Crash Boom Bang!,0.09
1696,L: the proLogue to DEATH NOTE - Rasen no Wana,0.09
1697,Indianapolis 500 Legends,0.09
1698,My Make-Up,0.09
1699,Charlotte's Web,0.09
1700,1 vs. 100,0.09
1701,Thomas & Friends: Hero of the Rails,0.09
1702,Bomberman Land Touch!,0.09
1703,Are You Smarter Than a 5th Grader? Back to School,0.08
1704,Aibou DS,0.08
1705,Animal Planet: Emergency Vets,0.08
1706,Don King Boxing,0.08
1707,Princess Isabella: A Witch's Curse,0.08
1708,Knights in the Nightmare,0.08
1709,Marvel Nemesis: Rise of the Imperfects,0.08
1710,Murder in Venice,0.08
1711,Kidou Senshi Gundam 00,0.08
1712,The Secret Saturdays: Beasts of the 5th Sun,0.08
1713,Charm Girls Club: My Fashion Show,0.08
1714,101-in-1 Sports Megamix,0.08
1715,SaGa 3: Jikuu no Hasha - Shadow or Light,0.08
1716,"Sesame Street: Ready, Set, Grover!",0.08
1717,Midnight Play! Pack,0.08
1718,Playmobil Pirates,0.08
1719,Miami Nights: Singles in the City,0.08
1720,Death Jr. and the Science Fair of Doom,0.08
1721,Naruto Shippuden: Shinobi Rumble!!,0.08
1722,Dream Day: Wedding Destinations,0.08
1723,The Spiderwick Chronicles,0.08
1724,Touch Mechanic,0.08
1725,Sushi Academy,0.08
1726,Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,0.08
1727,DaGeDar,0.08
1728,Kaijuu Busters Powered,0.08
1729,Sports Collection,0.08
1730,Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,0.08
1731,Prey the Stars,0.08
1732,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 2: Shinseiki Evangelion - Shito, Futatabi",0.08
1733,Pro Evolution Soccer 2008 (JP sales),0.08
1734,My English Coach: Para Hispanoparlantes,0.08
1735,Backyard NBA Basketball,0.08
1736,Bakugan: Rise of the Resistance,0.08
1737,Princess in Love,0.08
1738,Kaidan Restaurant: Ura Menu 100-Sen,0.08
1739,Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B,0.08
1740,GoldenEye 007,0.08
1741,Super Robot Taisen OG Saga: Endless Frontier,0.08
1742,Captain Tsubasa: New Kick Off,0.08
1743,Line Rider 2: Unbound,0.08
1744,Kenshuui Tendo Dokuta,0.08
1745,Ultimate Card Games DS,0.08
1746,Jillian Michaels Fitness Ultimatum 2010,0.08
1747,Petz Fantasy: Sunshine Magic,0.08
1748,Witches & Vampires: The Secrets of Ashburry,0.08
1749,Discovery Kids: Spider Quest,0.08
1750,"3 in 1: Solitaire, Mahjong & Tangram",0.08
1751,Mission Runway,0.08
1752,Drama Queens,0.08
1753,Diego's Build & Rescue,0.08
1754,Major League Baseball 2K12,0.08
1755,ZhuZhu Babies,0.08
1756,Wordfish,0.08
1757,TrackMania DS,0.08
1758,Code Lyoko: Fall of X.A.N.A.,0.08
1759,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,0.08
1760,New International Track & Field,0.08
1761,My Friends,0.08
1762,Soul Bubbles,0.08
1763,Monster Trucks DS,0.08
1764,FabStyle,0.08
1765,C.O.P.: The Recruit,0.08
1766,Dreamer Series: Shop Owner,0.08
1767,Horrid Henry's Horrid Adventure,0.08
1768,Bella Sara,0.08
1769,Bangai-O Spirits,0.08
1770,Imagine: My Restaurant,0.08
1771,Whac-A-Mole,0.08
1772,Dawn of Heroes,0.08
1773,Salon Superstar,0.08
1774,The Croods: Prehistoric Party!,0.08
1775,World Championship Poker: Deluxe Series,0.08
1776,Beat City,0.08
1777,Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,0.08
1778,Katekyoo Hitman Reborn! DS: Flame Rumble Hyper - Moeyo Mirai,0.08
1779,Pro Yakyuu Famista DS 2010,0.08
1780,Elebits: The Adventures of Kai and Zero,0.08
1781,One Piece: Gear Spirit,0.08
1782,The Legend of Kage 2,0.08
1783,Mind Quiz: Your Brain Coach,0.08
1784,Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,0.08
1785,Junior Classic Books & Fairytales,0.08
1786,Little League World Series Baseball: Double Play,0.08
1787,Chronicles of Mystery: The Secret Tree of Life,0.07
1788,Hakuouki DS,0.07
1789,Mega Man Battle Network: Operation Shooting Star,0.07
1790,Again Read the review,0.07
1791,Superman Returns,0.07
1792,You Don't Know Jack,0.07
1793,Emily the Strange: Strangerous,0.07
1794,My Fun Facts Coach,0.07
1795,Margot's Word Brain,0.07
1796,Learn Geography,0.07
1797,Roogoo Attack!,0.07
1798,Harlem Globetrotters: World Tour,0.07
1799,Summon Night,0.07
1800,Overlord: Minions,0.07
1801,CSI: Dark Motives,0.07
1802,Picture Perfect Hair Salon,0.07
1803,River King: Mystic Valley (US sales),0.07
1804,Lupin Sansei: Shijou Saidai no Zunousen,0.07
1805,Squishy Tank,0.07
1806,Discovery Kids: Parrot Pals,0.07
1807,The Rub Rabbits!,0.07
1808,Let's Ride! Friends Forever,0.07
1809,Jewel Time Deluxe,0.07
1810,Elements of Destruction,0.07
1811,Eiken DS,0.07
1812,Game Center CX: Arino no Chousenjou 2,0.07
1813,Jewel Link Chronicles: Legend of Athena,0.07
1814,Monster Racers,0.07
1815,DS Uranai Seikatsu,0.07
1816,Rec Room Games,0.07
1817,"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",0.07
1818,Robocalypse,0.07
1819,Mahjong Fight Club DS: Wi-Fi Taiou,0.07
1820,Moxie Girlz,0.07
1821,Homie Rollerz,0.07
1822,Vampire Knight DS,0.07
1823,Tom Clancy's Splinter Cell: Chaos Theory,0.07
1824,Vampire Legends: Power of Three,0.07
1825,Make 10: A Journey of Numbers,0.07
1826,Fantasy Aquarium by DS,0.07
1827,Tornado,0.07
1828,Shin Chan Contra ¡Los Plastas!,0.07
1829,Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,0.07
1830,Point Blank DS (JP sales),0.07
1831,Tomb Raider: Legend,0.07
1832,futureU: The Prep Game for SAT,0.07
1833,Gintama DS: Yorozuya Daisoudou,0.07
1834,Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,0.07
1835,Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,0.07
1836,AMF Bowling Pinbusters!,0.07
1837,Digimon World Championship,0.07
1838,Ant Nation,0.07
1839,Trick DS-han: Kakushi Kami no Sumukan,0.07
1840,Real Time Conflict: Shogun Empires,0.07
1841,Alpha and Omega,0.07
1842,Titanic Mystery,0.07
1843,San Goku Shi Taisen Ten,0.07
1844,My Dress-Up,0.07
1845,Dynasty Warriors DS: Fighter's Battle,0.07
1846,Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,0.07
1847,Tokyo Beat Down,0.07
1848,Dino Master: Dig Discover Duel,0.07
1849,Operation: Vietnam,0.07
1850,Jake Power: Handyman,0.07
1851,Classic Action: Devilish,0.07
1852,Jackass the Game DS,0.07
1853,Generator Rex: Agent of Providence,0.07
1854,Zettai Onkan Otoda Master,0.07
1855,Backyard NFL Football '09,0.07
1856,N+,0.07
1857,Katekyoo Hitman Reborn! DS: Fate of Heat - Hono no Unmei,0.07
1858,Shin Lucky * Star: Moe Drill ~Tabidachi~,0.07
1859,ZhuZhu Pets: Quest for Zhu,0.07
1860,Deep Labyrinth Read the review,0.07
1861,Kanji Sonomama DS Rakubiki Jiten,0.07
1862,Daniel X: The Ultimate Power,0.07
1863,Chuugaku Eitango Target 1800 DS,0.07
1864,Tropix,0.07
1865,Doraemon: Nobita no Shin Makai Daibouken DS,0.07
1866,My Horse & Me: Riding for Gold,0.07
1867,Alex Rider: Stormbreaker,0.07
1868,Crime Lab: Body of Evidence,0.07
1869,"Flower, Sun, and Rain Read the review",0.07
1870,Dreamer Series: Pop Star,0.07
1871,Prince of Persia: The Fallen King,0.07
1872,The Tale of Despereaux,0.07
1873,Jam Sessions 2,0.07
1874,Lost in Blue 2,0.07
1875,Interactive Storybook DS Series 1,0.07
1876,Cosmos Chaos!,0.07
1877,MLB Power Pros 2008,0.07
1878,"Warhammer 40,000: Squad Command",0.06
1879,IL-2 Sturmovik: Birds of Prey,0.06
1880,James Bond 007: Blood Stone,0.06
1881,Disney's Chicken Little: Ace In Action,0.06
1882,Elite Forces: Unit 77,0.06
1883,Insecticide,0.06
1884,Smart Boy's Toys Club,0.06
1885,Jewels of the Ages,0.06
1886,Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,0.06
1887,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,0.06
1888,Frogger: Helmet Chaos,0.06
1889,My Pet Shop,0.06
1890,Imagine: Gymnast,0.06
1891,Monster Tale Read the review,0.06
1892,Nicola Kanshuu: Model * Oshare Audition,0.06
1893,Backyard Hockey,0.06
1894,Paws & Claws: Marine Rescue,0.06
1895,Santa Claus is Comin' to Town!,0.06
1896,Western Riding Academy,0.06
1897,Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,0.06
1898,Sprung - A Game Where Everyone Scores,0.06
1899,Panzer Tactics DS,0.06
1900,Johnny Test,0.06
1901,Kuukan * Zukei: Hirameki Training - KuuTore,0.06
1902,Osu! Tatakae! Ouendan,0.06
1903,Bionicle Heroes,0.06
1904,Jewel Quest IV: Heritage,0.06
1905,Meitantei Conan: Aoki Houseki no Rinbukyoku,0.06
1906,My Pet Chimp,0.06
1907,Di-Gata Defenders,0.06
1908,Theme Park,0.06
1909,From The Abyss,0.06
1910,Legend of Kay,0.06
1911,Sudoku Ball Detective Read the review,0.06
1912,Kurupoto Cool Cool Stars,0.06
1913,Challenge Me: Brain Puzzles,0.06
1914,Shining Force Feather,0.06
1915,OK! Puzzle Stars,0.06
1916,Star Trek: Tactical Assault,0.06
1917,Imagine: Cheerleader,0.06
1918,DropCast,0.06
1919,Minna no DS Seminar: Kanpeki Eitango Ryoku,0.06
1920,Kirarin * Revolution: Minna de Odorou Furi Furi Debut!,0.06
1921,Arkanoid DS,0.06
1922,Disney's Kim Possible: Global Gemini,0.06
1923,Mega Man Battle Network 5: Double Team DS (US sales),0.06
1924,Tsumiki: Block Drop Mania,0.06
1925,Dreamer Series: Zoo Keeper,0.06
1926,Big Bang Mini Read the review,0.06
1927,Summon Night 2,0.06
1928,Chou Soujuu Mecha MG,0.06
1929,Chou Soujuu Mecha MG,0.06
1930,Busy Scissors,0.06
1931,World Series of Poker 2008: Battle for the Bracelets,0.06
1932,Foster's Home for Imaginary Friends: Imagination Invaders,0.06
1933,Eigo de Tabisuru: Little Charo,0.06
1934,World Cup of Pool,0.06
1935,I Love Beauty: Hollywood Makeover,0.06
1936,Rock Blast,0.06
1937,Showtime Championship Boxing,0.06
1938,Little League World Series Baseball 2008,0.06
1939,Jewel Link Chronicles: Mountains of Madness,0.06
1940,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe,0.06
1941,Pop Cutie! Street Fashion Simulation,0.06
1942,Playmobil Knights,0.06
1943,Imagine: Resort Owner,0.06
1944,Paws & Claws: Pampered Pets 2,0.06
1945,Satisfashion,0.06
1946,Theresia... Read the review,0.06
1947,Winter Sports 2: The Next Challenge,0.06
1948,FIFA 07 Soccer,0.06
1949,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.06
1950,Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,0.06
1951,Gegege no Kitarou: Youkai Daigekisen,0.06
1952,Dig Dug: Digging Strike,0.06
1953,Emblem of Gundam,0.06
1954,Quiz! Hexagon II,0.06
1955,Honeycomb Beat,0.06
1956,Crazy Chicken: Pharaoh's Treasure,0.06
1957,Jumble Madness,0.06
1958,Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,0.06
1959,Brain Quest: Grades 3 & 4,0.06
1960,Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,0.06
1961,Winx Club: Quest for the Codex,0.06
1962,Jacqueline Wilson's Tracy Beaker: The Game,0.06
1963,Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu DS+,0.06
1964,X-Men: Destiny,0.06
1965,Aquarium by DS,0.06
1966,Gormiti: The Lords of Nature!,0.06
1967,Winx Club: Mission Enchantix,0.06
1968,Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,0.06
1969,Atari's Greatest Hits: Volume 2,0.06
1970,Tiger Woods PGA Tour 08,0.06
1971,Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,0.06
1972,Nanostray,0.06
1973,Wantame Fortune Channel,0.06
1974,Real Soccer 2009,0.06
1975,Kaite Shabette Hajimeyou! Monster Farm DS,0.06
1976,Scurge: Hive,0.06
1977,Zendoku,0.06
1978,FIFA Soccer 06,0.06
1979,Dino Pets,0.06
1980,Meitantei Conan: Tantei Ryoku Trainer,0.06
1981,"Tennis no Oji-Sama: Doubles no Oji-Sama - Girls, Be Gracious!",0.06
1982,Dreamer Series: Babysitter,0.06
1983,Diva Girls: Divas on Ice,0.06
1984,Dungeon Explorer: Warriors of Ancient Arts,0.06
1985,Mame Goma 2: Uchi no Ko ga Ichiban!,0.06
1986,Izuna 2: The Unemployed Ninja Returns,0.06
1987,Pucca Power Up,0.06
1988,Chuck E. Cheese's Playhouse,0.06
1989,My Amusement Park,0.06
1990,Point Blank DS (US sales),0.06
1991,Space Chimps,0.06
1992,History Great Empires: Rome,0.05
1993,Unsolved Crimes Read the review,0.05
1994,Chocolatier,0.05
1995,Minna to Kimi no Piramekino!,0.05
1996,Xiaolin Showdown,0.05
1997,Drivers Ed Portable,0.05
1998,Petz Bunnyz Bunch,0.05
1999,Walt Disney Pictures Presents Enchanted,0.05
2000,Virtual Villagers: A New Home,0.05
2001,Match 3 Madness,0.05
2002,Lernerfolg Vorschule: Capt'n Sharky,0.05
2003,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,0.05
2004,Touch 'N' Play Collection,0.05
2005,Pawly Pets: My Vet Practice,0.05
2006,Mister Slime,0.05
2007,Black Sigil: Blade of the Exiled Read the review,0.05
2008,Learn Science,0.05
2009,Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,0.05
2010,Metal Fight Beyblade: Bakugami Susanoh Shuurai!,0.05
2011,Rockin' Pretty,0.05
2012,Dengeki Gakuen RPG: Cross of Venus,0.05
2013,Rhapsody: A Musical Adventure,0.05
2014,Jake Power: Policeman,0.05
2015,Animal Planet: Vet Collection,0.05
2016,Jewel Legends: Tree of Life,0.05
2017,Princess on Ice,0.05
2018,Aliens in the Attic,0.05
2019,Dreamer Series: Puppy Trainer,0.05
2020,Samantha Swift and the Hidden Roses of Athena,0.05
2021,Pony Friends: Mini Breeds Edition,0.05
2022,Strawberry Shortcake: Strawberryland Games,0.05
2023,TrackMania Turbo: Build to Race,0.05
2024,Kamen Rider: Dragon Knight,0.05
2025,Captain America: Super Soldier,0.05
2026,TV Anime: Fairy Tale Gekitou! Madoushi Kessen,0.05
2027,The BIGS 2,0.05
2028,RPG Tsukuru DS,0.05
2029,Dramatic Dungeon: Sakura Wars - Kimi Arugatame,0.05
2030,The Mysterious Case of Dr. Jekyll and Mr. Hyde,0.05
2031,Imagine Animal Doctor Care Center,0.05
2032,Jewel Master: Cradle of Persia,0.05
2033,Imagine: Party Planner,0.05
2034,Nanostray 2,0.05
2035,Air Traffic Chaos,0.05
2036,Mawashite Tsunageru Touch Panic,0.05
2037,Pet Pals: New Leash on Life,0.05
2038,Doraemon: Nobita no Kyouryuu 2006 DS,0.05
2039,Ontamarama,0.05
2040,DokiDoki Majo Shinpan!,0.05
2041,Dokapon Journey,0.05
2042,Tennis no Oji-Sama: 2005 Crystal Drive,0.05
2043,Summon Night X: Tears Crown,0.05
2044,Max & the Magic Marker,0.05
2045,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,0.05
2046,Prism: Light the Way,0.05
2047,Tenchu: Dark Secret,0.05
2048,The Idolm@ster: Dearly Stars,0.05
2049,Ivy the Kiwi? Read the review,0.05
2050,Imagine: Artist,0.05
2051,Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,0.05
2052,Top Spin 2,0.05
2053,Keroro Gunsou: Enshuu da Yo! Zenin Shuugou Part 2,0.05
2054,Noddy in Toyland,0.05
2055,Suzuki Super-Bikes II: Riding Challenge,0.05
2056,GRID,0.05
2057,Metal Max 2 Reloaded,0.05
2058,Kids Learn Music A+ Edition,0.05
2059,Nounai Aeshe: IQ Suppli DS 2 - Sukkiri King Ketteisen,0.05
2060,Orcs & Elves,0.05
2061,Detective Conan: Prelude from the Past,0.05
2062,Guilty Gear Dust Strikers,0.05
2063,Odoru Daisousasen The Game: Sensuikan ni Sennyuu Seyo!,0.05
2064,Secret Files: Tunguska,0.05
2065,Beastly Frantic Foto,0.05
2066,Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),0.05
2067,George of The Jungle and the Search for the Secret,0.05
2068,Fishdom,0.05
2069,Smart Kid's Party Fun Pak,0.05
2070,Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,0.05
2071,Houkago Shounen,0.05
2072,Nicktoons: Attack of the Toybots,0.05
2073,Harukanaru Toki no Naka de: Yumenoukihashi,0.05
2074,Spitfire Heroes: Tales of the Royal Air Force,0.05
2075,D.Gray-man: Kami no Shitotachi,0.05
2076,TNA iMPACT: Cross the Line,0.05
2077,Cartoon Network Racing,0.05
2078,Katekyoo Hitman Reborn! DS: Bongole Shiki Taisen Battle Sugoroku,0.05
2079,Tokimeki Memorial: Girls Side 1st Love,0.05
2080,Treasure Report: Kikai Jikake no Isan,0.05
2081,Yu-Gi-Oh! World Championship 2007,0.05
2082,Powerful Golf,0.05
2083,Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,0.05
2084,Apassionata: Die Galanacht der Pferde,0.05
2085,M&M's Adventure,0.05
2086,Soul Eater: Medusa no Inbou,0.05
2087,Jewel Quest Mysteries,0.05
2088,Moon,0.05
2089,Code Lyoko,0.05
2090,Pet Vet: Down Under,0.05
2091,GunPey DS,0.05
2092,Battleship / Connect Four / Sorry! / Trouble,0.05
2093,Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,0.05
2094,Pony Friends,0.05
2095,The Lost Treasures of Alexandria,0.05
