,Titles,Total sales in million
143,Code Name: S.T.E.A.M.,0.22
144,Sumikko Gurashi: Mura o Tsukurundesu,0.22
145,Transformers: Dark of the Moon,0.22
146,Return to PopoloCrois: A Story of Seasons Fairytale,0.22
147,WipeOut 3 The Game,0.22
148,Magician's Quest: Town of Magic,0.21
149,Radiant Historia: Perfect Chronology,0.21
150,Frogger 3D,0.21
151,Tekken 3D: Prime Edition Read the review,0.21
152,The Amazing Spider-Man (2012) Read the review,0.21
153,LBX: Little Battlers eXperience,0.21
154,Dragon Quest Monsters: Joker 3 - Professional,0.2
155,Disney Art Academy,0.2
156,Code of Princess Read the review,0.2
157,Skylanders: SuperChargers Racing,0.2
158,Shin Megami Tensei: Strange Journey Redux Read the review,0.2
159,Aikatsu! Cinderella Lesson,0.2
160,Nascar Unleashed,0.19
161,Need for Speed: The Run,0.19
162,Pac-Man & Galaga Dimensions,0.19
163,New Love Plus,0.19
164,Pet Zombies,0.19
165,The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou,0.19
166,SpongeBob SquigglePants 3D,0.19
167,Kuma-Tomo,0.19
168,Project X Zone 2,0.19
169,Captain Toad: Treasure Tracker,0.19
170,Transformers: Prime Read the review,0.19
171,Reel Fishing Paradise 3D,0.19
172,Pro Evolution Soccer 2014,0.19
173,Daigasso! Band Brothers P,0.19
174,Hatsune Miku and Future Stars: Project Mirai,0.18
175,Big Hero 6: Battle in the Bay,0.18
176,Super Robot Wars UX,0.18
177,Senran Kagura 2: Deep Crimson,0.18
178,Sumikko Gurashi: Koko ga Ochitsukundesu,0.18
179,Pro Evolution Soccer 2013,0.18
180,Yu-Gi-Oh! Zexal Clash! Duel Carnival!,0.18
181,Michael Jackson: The Experience 3D,0.17
182,Dragon Quest X,0.17
183,Harvest Moon: The Lost Valley,0.17
184,F1 2011,0.17
185,Doctor Lautrec and the Forgotten Knights Read the review,0.17
186,Sumikko Gurashi: Omise Hajimerundesu,0.17
187,Theatrhythm Dragon Quest,0.16
188,SD Gundam G Generation 3D,0.16
189,Adventure Time: Explore the Dungeon Because I Don't Know!,0.16
190,Pro Yakyuu Famista Returns,0.16
191,James Noir's Hollywood Crimes,0.16
192,Naruto Powerful Shippuden,0.16
193,Castlevania: Lords of Shadow - Mirror of Fate Read the review,0.16
194,The Adventures of Tintin: The Game,0.16
195,Skylanders Giants Read the review,0.16
196,Toriko: Gourmet Monsters!,0.16
197,Senran Kagura: Shoujotachi no Shinei,0.16
198,Crush3D Read the review,0.15
199,Fire Emblem Warriors,0.15
200,Rayman Origins,0.15
201,Derby Stallion Gold,0.15
202,Ben 10 Galactic Racing,0.15
203,Monster Hunter Diary: Poka Poka Airou Village DX,0.15
204,Hoppechan: Tsukutte! Asonde! Punipuni Town!!,0.15
205,Imagine: Fashion Designer,0.15
206,Metroid Prime: Federation Force,0.15
207,Pac-Man Party 3D,0.15
208,Cave Story 3D,0.15
209,Farming Simulator 2012,0.14
210,Etrian Odyssey 2 Untold: Knight of Fafnir,0.14
211,Senran Kagura Burst,0.14
212,Run for Money CHO Tousouchuu,0.14
213,Taiko no Tatsujin: Don Don! Mystery Adventure,0.14
214,Assassination Classroom: Grand Siege on Korosensei,0.14
215,BIT.TRIP SAGA Read the review,0.14
216,Jikkyou Powerful Pro Baseball Heroes,0.14
217,Medalot 7,0.13
218,Teenage Mutant Ninja Turtles: Danger of the Ooze,0.13
219,The Oregon Trail,0.13
220,Pro Baseball Famista Climax,0.13
221,Super Robot Wars BX,0.13
222,Gotouchi Tetsudou: Gotouchi Kyara to Nihon Zenkoku no Tabi,0.13
223,Aikatsu! 365 Idol Days,0.13
224,Green Lantern: Rise of the Manhunters,0.13
225,Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,0.13
226,Puyo Puyo!! 20th Anniversary,0.13
227,Puppies 3D,0.13
228,Corpse Party: Back to School Edition,0.13
229,Little Battlers eXperience: Wars,0.13
230,Shin Megami Tensei: Devil Survivor 2 Record Breaker Read the review,0.13
231,PriPara Mezase! Idol Grand Prix No.1!,0.13
232,Zero Escape: Zero Time Dilemma,0.12
233,Farming Simulator 18,0.12
234,Terraria,0.12
235,One Piece: Super Grand Battle! X,0.12
236,Conception II: Children of the Seven Stars,0.12
237,"Sumikko Gurashi: Koko, Dokonan Desu?",0.12
238,Picross 3D Round 2,0.12
239,Pokémon Crystal Version,0.12
240,The Great Ace Attorney 2 - The Resolve of Ryuunosuke Naruhodou Read the review,0.12
241,DreamWorks Super Star Kartz,0.12
242,Deca Sports Extreme,0.12
243,Spider-Man: Edge of Time,0.12
244,Jaws: Ultimate Predator,0.12
245,Brunswick Pro Bowling Read the review,0.12
246,Nintendo Pocket Football Club,0.12
247,Funky Barn,0.12
248,Puyo Puyo Tetris,0.11
249,The Alliance Alive Read the review,0.11
250,NCIS 3D,0.11
251,Pinball Hall of Fame: The Williams Collection Read the review,0.11
252,Happy Feet Two,0.11
253,DualPenSports,0.11
254,Gabrielle's Ghostly Groove 3D,0.11
255,Tales of the World: Tactics Union,0.11
256,AKB48+Me,0.11
257,Pokémon Rumble World,0.11
258,BlazBlue: Continuum Shift II,0.11
259,Naruto Shippuden 3D: The New Era,0.11
260,Adventure Time: Finn & Jake Investigations,0.11
261,Etrian Odyssey Nexus,0.11
262,Little Battlers eXperience W Super Custom,0.1
263,Samurai Warriors Chronicles 2nd,0.1
264,Marvel Super Hero Squad: The Infinity Gauntlet,0.1
265,Generator Rex: Agent of Providence,0.1
266,Scribblenauts Unmasked: A DC Comics Adventure,0.1
267,Thor: God of Thunder,0.1
268,Cubic Ninja,0.1
269,Kuroko no Basuke: Miracles to Victory,0.1
270,Cartoon Network: Punch Time Explosion,0.1
271,Kuroko's Basketball: Ties to Future,0.1
272,Persona Q2: New Cinema Labyrinth,0.1
273,Shantae and the Pirate's Curse,0.1
274,PAC-MAN and the Ghostly Adventures,0.1
275,Disney Planes Fire & Rescue,0.1
276,Everyday House Tamagotchi,0.09
277,Inazuma Eleven 3: Lighting Bolt / Bomb Blast,0.09
278,Harvest Moon: Skytree Village,0.09
279,Carnival Games: Wild West 3D,0.09
280,Driver: Renegade,0.09
281,Beyblade Evolution,0.09
282,The Seven Deadly Sins: Unjust Sin,0.09
283,Cardfight!! Vanguard: Ride to Victory!!,0.09
284,Brain Age: Concentration Training,0.09
285,Beyblade Burst,0.09
286,Mahjong Cub3D,0.09
287,Aikatsu! My No.1 Stage!,0.09
288,Digimon World Re:Digitize Decode,0.09
289,Captain America: Super Soldier,0.09
290,Nikoli's Pencil Puzzle,0.09
291,Lost Heroes,0.09
292,Nano Assault Read the review,0.08
293,Face Racers: Photo Finish,0.08
294,Kamen Rider Travelers Record,0.08
295,Samurai Warriors Chronicles 3,0.08
296,Gundam the 3D Battle,0.08
297,Pretty Rhythm Rainbow Live: Kira Kira My * Design,0.08
298,Adventure Time: The Secret of the Nameless Kingdom,0.08
299,The Hidden,0.08
300,Pretty Rhythm: My Deco Rainbow Wedding,0.08
301,Puzzler Mind Gym 3D,0.08
302,Kenka Banchou 6: Soul & Blood,0.08
303,One Piece: Romance Dawn Read the review,0.08
304,Kobitodzukan: Kobito no Fushigi - Jikken Set,0.08
305,Pac-Man and the Ghostly Adventures 2,0.08
306,Doraemon: Nobita and the Island of Miracles,0.08
307,Medabots Dual: Kabuto / Kuwagata,0.08
308,Medabots 8,0.08
309,Future Card Buddyfight: Yuujou no Bakunetsu Fight!,0.08
