,Names,Total_shipped,Total_sales
44,Monster High 13 Wishes,,0.02m
45,Tumblestone,,0.02m
46,Kamen Rider: Battride War II,,0.02m
47,Fist of the North Star: Ken's Rage 2,,0.02m
48,Dragon Quest X: All in One Package,,0.02m
49,Art Academy: Home Studio,,0.02m
0,Cabela's Big Game Hunter: Pro Hunts,,0.02m
1,The Book of Unwritten Tales 2,,0.02m
2,Puyo Puyo Tetris,,0.02m
3,Mario vs. Donkey Kong: Tipping Stars,,0.02m
4,Romance of the Three Kingdoms XII,,0.02m
5,Fast Racing Neo,,0.01m
6,Barbie and Her Sisters Puppy Rescue,,0.01m
7,Phineas and Ferb: Quest for Cool Stuff,,0.01m
8,Legend of Kay Anniversary,,0.01m
9,The Peanuts Movie: Snoopy's Grand Adventure,,0.01m
10,Hello Kitty Kruisers,,0.01m
11,Teslagrad,,0.00m
12,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,,0.00m
13,Monster High: New Ghoul in School,,0.00m
14,Kung Fu Panda: Showdown of Legendary Legends,,0.00m
15,Pokémon Rumble U,,0.00m
16,Star Fox Guard,,0.00m
17,Ben 10 Omniverse 2,,0.00m
18,Young Justice: Legacy,,0.00m
19,NES Remix Pack,,0.00m
20,1001 Spikes,,
21,6180 the moon,,
22,Abyss,,
23,Adventures of Lolo,,
24,Affordable Space Adventures,,
25,Aliens: Colonial Marines,,
26,Angry Birds,,
27,Angry Video Game Nerd Adventures,,
28,Aqua Moto Racing Utopia,,
29,Armikrog,,
30,Armillo,,
31,Assault Android Cactus,,
32,Ava and Avior Save the Earth,,
33,Axiom Verge,,
34,Aztez,,
35,BADLAND: Game of the Year Edition,,
36,Ballpoint Universe: Infinite,,
37,Batman: Arkham Origins Blackgate,,
38,Ben 10 Omniverse,,
39,Bit.Trip Presents... Runner 2: Future Legend of Rhythm Alien Read the review,,
40,BLOK DROP U,,
41,Bombing Bastards,,
42,BrickBlast U!,,
43,CANDLE,,
