,Names,Total_shipped,Total_sales
12,Jikkyou Powerful Pro Yakyuu 5,,0.27m
13,NBA In The Zone '98,,0.27m
14,NBA Jam 99,,0.27m
15,Shadow Man,,0.27m
16,Armorines: Project S.W.A.R.M.,,0.26m
17,Duke Nukem: Zero Hour,,0.26m
18,Nightmare Creatures,,0.26m
19,Star Wars Episode I: Battle for Naboo,,0.26m
20,F1 Pole Position 64,,0.25m
21,Fox Sports College Hoops '99,,0.25m
22,Gex 64: Enter the Gecko,,0.25m
23,Hybrid Heaven,,0.25m
24,MRC: Multi-Racing Championship,,0.25m
25,NBA Courtside 2 featuring Kobe Bryant,,0.25m
26,NBA Showtime: NBA on NBC,,0.25m
27,Wayne Gretzky's 3D Hockey '98,,0.25m
28,Wheel of Fortune,,0.25m
29,Army Men: Air Combat,,0.24m
30,Midway's Greatest Arcade Hits Volume 1,,0.24m
31,Paperboy,,0.24m
32,Ready 2 Rumble Boxing: Round 2,,0.24m
33,Road Rash 64,,0.24m
34,South Park: Chef's Luv Shack,,0.24m
35,All-Star Baseball 2001,,0.23m
36,64 de Hakken! Tamagotchi Minna de Tamagotchi World,,0.22m
37,Chou-Kuukan Night Pro Yakyuu King(higher JP sales),,0.22m
38,ECW Hardcore Revolution,,0.22m
39,Mega Man 64,,0.22m
40,Ms. Pac-Man: Maze Madness,,0.22m
41,Rampage 2: Universal Tour,,0.22m
42,ClayFighter 63 1/3,,0.21m
43,Cruis'n Exotica,,0.21m
44,Gex 3: Deep Cover Gecko,,0.21m
45,Monopoly,,0.21m
46,WCW Nitro,,0.21m
47,WinBack: Covert Operations,,0.21m
48,Body Harvest,,0.20m
49,Disney's Tarzan,,0.20m
0,Famista 64,,0.20m
1,Magical Tetris Challenge,,0.20m
2,Roadsters 99,,0.20m
3,San Francisco Rush 2049,,0.20m
4,Snowboard Kids,,0.20m
5,Super Robot Taisen 64,,0.20m
6,Tigger's Honey Hunt,,0.20m
7,Twisted Edge Extreme Snowboarding,,0.20m
8,Jikkyou J-League Perfect Striker,,0.19m
9,AeroFighters Assault,,0.19m
10,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),,0.19m
11,Hexen,,0.19m
12,Mace: The Dark Age,,0.19m
13,Puyo Puyo Sun 64,,0.19m
14,Quake,,0.19m
15,Sesame Street: Elmo's Number Journey,,0.19m
16,International Superstar Soccer 2000 (JP weekly sales),,0.18m
17,Re-Volt,,0.18m
18,Sesame Street: Elmo's Letter Adventure,,0.18m
19,Bomberman 64: The Second Attack!,,0.17m
20,Turok 3: Shadow of Oblivion,,0.17m
21,World Driver Championship,,0.17m
22,Asteroids Hyper 64,,0.16m
23,Buck Bumble,,0.16m
24,California Speed,,0.16m
25,Destruction Derby 64,,0.16m
26,Fighters Destiny,,0.16m
27,Hydro Thunder,,0.16m
