,Names,Total_shipped,Total_sales
28,Style Savvy: Styling Star,,0.45m
29,Shin Megami Tensei: Devil Survivor Overclocked,,0.44m
30,Hey! Pikmin,,0.44m
31,Tetris Axis Read the review,,0.44m
32,Story of Seasons,,0.44m
33,Fossil Fighters: Frontier,,0.42m
34,LEGO The Lord of the Rings,,0.41m
35,Madden NFL Football,,0.41m
36,LEGO Harry Potter: Years 5-7,,0.41m
37,Theatrhythm Final Fantasy: Curtain Call,,0.41m
38,Project X Zone Read the review,0.40m,
39,Momotaro Dentetsu 2017: Tachiagare Nippon!!,,0.40m
40,Combat of Giants: Dinosaurs 3D,,0.39m
41,FIFA Soccer 12 Read the review,,0.39m
42,One Piece Unlimited World: Red Read the review,,0.39m
43,Metal Gear Solid: Snake Eater 3D,,0.39m
44,Raving Rabbids: Travel in Time 3D,,0.38m
45,Phoenix Wright: Ace Attorney - Dual Destinies Read the review,,0.38m
46,Pro Evolution Soccer 2011 3D,,0.38m
47,Hatsune Miku: Project Mirai DX,,0.38m
48,Minecraft,,0.37m
49,Shin Megami Tensei IV: Apocalypse,,0.37m
0,Sentouchu: Densetsu no Shinobi to Survival Battle!,,0.36m
1,Harvest Moon: The Tale of Two Towns,,0.36m
2,Disney Infinity,,0.35m
3,Dragon Ball Z: Extreme Butoden,,0.35m
4,Lego Legends of Chima: Laval's Journey,,0.34m
5,Angry Birds: Star Wars,,0.34m
6,Tom Clancy's Ghost Recon: Shadow Wars,,0.34m
7,Skylanders: Trap Team,,0.34m
8,Dragon Ball Heroes: Ultimate Mission 2,,0.34m
9,Ultimate NES Remix Read the review,,0.33m
10,Kirby: Battle Royale,,0.33m
11,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,,0.33m
12,Chibi-Robo! Zip Lash,,0.32m
13,Puzzle & Dragons X: God Chapter / Dragon Chapter,,0.32m
14,Bust-A-Move Universe,,0.31m
15,Dead or Alive: Dimensions,0.31m,
16,LEGO Ninjago: Shadow of Ronin,,0.31m
17,Tom Clancy's Splinter Cell 3D,,0.30m
18,LEGO Marvel's Avengers,,0.30m
19,Sonic & Sega All-Stars Racing Transformed,,0.30m
20,FIFA 13,,0.30m
21,Phoenix Wright: Ace Attorney: Spirit of Justice,,0.29m
22,Sonic Boom: Shattered Crystal,,0.29m
23,The Legend of Legacy,,0.29m
24,Dragon Ball Heroes: Ultimate Mission,,0.29m
25,Ever Oasis,,0.29m
26,Culdcept,,0.29m
27,WarioWare Gold,,0.28m
28,Moshi Monsters: Moshlings Theme Park,,0.28m
29,How to Train Your Dragon 2,,0.28m
30,Lego Star Wars: The Force Awakens,,0.28m
31,Etrian Mystery Dungeon,,0.28m
32,Kobitodzukan: Kobito Kansatsu Set,,0.28m
33,Rhythm Thief & the Emperor's Treasure,,0.28m
34,Batman: Arkham Origins Blackgate,,0.27m
35,Etrian Odyssey V: Beyond the Myth,,0.27m
36,Brain Age: Concentration Training,,0.27m
37,Skylanders SWAP Force,,0.27m
38,The Snack World: TreJarers,,0.27m
39,Aikatsu! 2-nin no My Princess,,0.27m
40,Etrian Odyssey: Millennium Girl,,0.26m
41,Inazuma Eleven GO 3: Galaxy - Big Bang / Supernova,,0.26m
42,Stella Glow,,0.26m
43,Mega Man Legacy Collection,,0.26m
44,Samurai Warriors Chronicles Read the review,0.26m,
45,FIFA 14,,0.26m
46,Zoo Resort 3D,,0.26m
47,Sonic Boom: Fire & Ice,,0.25m
48,LEGO The Hobbit,,0.25m
49,Ace Combat: Assault Horizon Legacy,,0.25m
0,Spirit Camera: The Cursed Memoir Read the review,,0.25m
1,Azure Striker Gunvolt,0.25m,
2,Persona Q: Shadow of the Labyrinth,0.25m,
3,7th Dragon III Code: VFD,,0.24m
4,Dragon Ball Heroes: Ultimate Mission X,,0.24m
5,Wipeout 2,,0.23m
6,WWE All Stars,,0.23m
7,Harvest Moon: The Land of Origin,,0.23m
8,Cars 2,,0.23m
9,Shinobi Read the review,,0.23m
10,Hatsune Miku: Project Mirai 2,,0.23m
11,Pokémon Gold/Pokémon Silver,,0.22m
12,Code Name: S.T.E.A.M.,,0.22m
13,Sumikko Gurashi: Mura o Tsukurundesu,,0.22m
14,Transformers: Dark of the Moon,,0.22m
15,Return to PopoloCrois: A Story of Seasons Fairytale,,0.22m
16,WipeOut 3 The Game,,0.22m
17,Magician's Quest: Town of Magic,,0.21m
18,Radiant Historia: Perfect Chronology,,0.21m
19,Frogger 3D,,0.21m
20,Tekken 3D: Prime Edition Read the review,,0.21m
21,One Piece Unlimited Cruise SP,0.21m,
22,The Amazing Spider-Man (2012) Read the review,,0.21m
23,LBX: Little Battlers eXperience,,0.21m
24,Dragon Quest Monsters: Joker 3 - Professional,,0.20m
25,Disney Art Academy,,0.20m
26,Code of Princess Read the review,,0.20m
27,Skylanders: SuperChargers Racing,,0.20m
28,Shin Megami Tensei: Strange Journey Redux Read the review,,0.20m
29,Aikatsu! Cinderella Lesson,,0.20m
30,Nascar Unleashed,,0.19m
31,Need for Speed: The Run,,0.19m
32,Pac-Man & Galaga Dimensions,,0.19m
33,New Love Plus,,0.19m
34,Pet Zombies,,0.19m
35,The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou,,0.19m
36,SpongeBob SquigglePants 3D,,0.19m
37,Kuma-Tomo,,0.19m
38,Project X Zone 2,,0.19m
39,Captain Toad: Treasure Tracker,,0.19m
40,Transformers: Prime Read the review,,0.19m
41,Reel Fishing Paradise 3D,,0.19m
42,Pro Evolution Soccer 2014,,0.19m
43,Daigasso! Band Brothers P,,0.19m
44,Hatsune Miku and Future Stars: Project Mirai,,0.18m
45,Big Hero 6: Battle in the Bay,,0.18m
46,Super Robot Wars UX,,0.18m
47,Senran Kagura 2: Deep Crimson,,0.18m
48,Sumikko Gurashi: Koko ga Ochitsukundesu,,0.18m
49,Pro Evolution Soccer 2013,,0.18m
0,Yu-Gi-Oh! Zexal Clash! Duel Carnival!,,0.18m
1,Michael Jackson: The Experience 3D,,0.17m
2,Dragon Quest X,,0.17m
3,Harvest Moon: The Lost Valley,,0.17m
4,F1 2011,,0.17m
5,Doctor Lautrec and the Forgotten Knights Read the review,,0.17m
6,Sumikko Gurashi: Omise Hajimerundesu,,0.17m
7,Theatrhythm Dragon Quest,,0.16m
8,SD Gundam G Generation 3D,,0.16m
9,Adventure Time: Explore the Dungeon Because I Don't Know!,,0.16m
10,Pro Yakyuu Famista Returns,,0.16m
11,James Noir's Hollywood Crimes,,0.16m
12,Naruto Powerful Shippuden,,0.16m
13,Castlevania: Lords of Shadow - Mirror of Fate Read the review,,0.16m
14,The Adventures of Tintin: The Game,,0.16m
15,Skylanders Giants Read the review,,0.16m
16,Toriko: Gourmet Monsters!,,0.16m
17,Senran Kagura: Shoujotachi no Shinei,,0.16m
18,Crush3D Read the review,,0.15m
19,Fire Emblem Warriors,,0.15m
20,Rayman Origins,,0.15m
21,Derby Stallion Gold,,0.15m
22,Ben 10 Galactic Racing,,0.15m
23,Etrian Odyssey IV: Legends of the Titan,0.15m,
24,Tales of the Abyss Read the review,0.15m,
25,Theatrhythm: Final Fantasy Read the review,0.15m,
26,Monster Hunter Diary: Poka Poka Airou Village DX,,0.15m
27,Hoppechan: Tsukutte! Asonde! Punipuni Town!!,,0.15m
28,Imagine: Fashion Designer,,0.15m
29,Metroid Prime: Federation Force,,0.15m
30,Pac-Man Party 3D,,0.15m
31,Cave Story 3D,,0.15m
32,Farming Simulator 2012,,0.14m
33,Etrian Odyssey 2 Untold: Knight of Fafnir,,0.14m
34,Senran Kagura Burst,,0.14m
35,Run for Money CHO Tousouchuu,,0.14m
36,Taiko no Tatsujin: Don Don! Mystery Adventure,,0.14m
37,Assassination Classroom: Grand Siege on Korosensei,,0.14m
38,BIT.TRIP SAGA Read the review,,0.14m
39,Jikkyou Powerful Pro Baseball Heroes,,0.14m
40,Medalot 7,,0.13m
41,Teenage Mutant Ninja Turtles: Danger of the Ooze,,0.13m
42,The Oregon Trail,,0.13m
43,Pro Baseball Famista Climax,,0.13m
44,Super Robot Wars BX,,0.13m
45,Gotouchi Tetsudou: Gotouchi Kyara to Nihon Zenkoku no Tabi,,0.13m
46,Aikatsu! 365 Idol Days,,0.13m
47,Green Lantern: Rise of the Manhunters,,0.13m
48,Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,,0.13m
49,Heroes of Ruin,0.13m,
0,Puyo Puyo!! 20th Anniversary,,0.13m
1,Puppies 3D,,0.13m
2,Corpse Party: Back to School Edition,,0.13m
3,Little Battlers eXperience: Wars,,0.13m
4,Shin Megami Tensei: Devil Survivor 2 Record Breaker Read the review,,0.13m
5,PriPara Mezase! Idol Grand Prix No.1!,,0.13m
6,Zero Escape: Zero Time Dilemma,,0.12m
7,Farming Simulator 18,,0.12m
8,Terraria,,0.12m
9,One Piece: Super Grand Battle! X,,0.12m
10,Conception II: Children of the Seven Stars,,0.12m
11,"Sumikko Gurashi: Koko, Dokonan Desu?",,0.12m
12,Picross 3D Round 2,,0.12m
13,Pokémon Crystal Version,,0.12m
14,The Great Ace Attorney 2 - The Resolve of Ryuunosuke Naruhodou Read the review,,0.12m
15,DreamWorks Super Star Kartz,,0.12m
16,Deca Sports Extreme,,0.12m
17,Spider-Man: Edge of Time,,0.12m
18,Jaws: Ultimate Predator,,0.12m
19,Brunswick Pro Bowling Read the review,,0.12m
20,Nintendo Pocket Football Club,,0.12m
21,Funky Barn,,0.12m
22,Puyo Puyo Tetris,,0.11m
23,The Alliance Alive Read the review,,0.11m
24,NCIS 3D,,0.11m
25,Pinball Hall of Fame: The Williams Collection Read the review,,0.11m
26,Happy Feet Two,,0.11m
27,DualPenSports,,0.11m
28,Gabrielle's Ghostly Groove 3D,,0.11m
29,Tales of the World: Tactics Union,,0.11m
30,AKB48+Me,,0.11m
31,Pokémon Rumble World,,0.11m
32,BlazBlue: Continuum Shift II,,0.11m
33,Naruto Shippuden 3D: The New Era,,0.11m
34,Adventure Time: Finn & Jake Investigations,,0.11m
35,Etrian Odyssey Nexus,,0.11m
36,Little Battlers eXperience W Super Custom,,0.10m
